year,emirate,population,urban_density,gdp_per_capita
2030,Ajman,606792,1319.1149843038563,33433.464302812004
2030,Umm Al Quwain,343833,477.54704672396014,31045.359709754004
2030,Ras Al Khaimah,416616,247.397039129622,34627.516599341005
2030,Fujairah,334662,230.80152524754948,37015.621192399005
2031,Abu Dhabi,4463531,45.921105036874096,143895.24225470982
2031,Dubai,4770793,1160.7769030581546,54114.45007869429
2031,Sharjah,2168539,837.273985447017,39355.96369359585
2031,Ajman,628995,1367.3804418267393,34436.46823189637
2031,Umm Al Quwain,364780,506.63898864777116,31976.720501046624
2031,Ras Al Khaimah,441120,261.94786072236724,35666.342097321234
2031,Fujairah,349368,240.943850897949,38126.089828170974
2032,Abu Dhabi,4734117,48.70491601352403,148212.0995223511
2032,Dubai,4714281,1147.0271580862081,55737.88358105512
2032,Sharjah,2207090,852.15857270277,40536.64260440372
2032,Ajman,662288,1439.7568018369732,35469.56227885326
2032,Umm Al Quwain,363047,504.2332556886728,32936.02211607803
2032,Ras Al Khaimah,437581,259.84642470398796,36736.33236024088
2032,Fujairah,347632,239.74658740758687,39269.87252301611
2033,Abu Dhabi,4768910,49.06287002613845,152658.46250802165
2033,Dubai,4898850,1191.9345015991812,57410.02008848677
2033,Sharjah,2356416,909.8133883657952,41752.74188253584
2033,Ajman,684465,1487.9689667160096,36533.64914721886
2033,Umm Al Quwain,377541,524.3634246955196,33924.102779560366
2033,Ras Al Khaimah,459677,272.96734285357576,37838.4223310481
2033,Fujairah,367963,253.76761002401824,40447.968698706594
2034,Abu Dhabi,4851884,49.91650752928371,157238.2163832623
2034,Dubai,5165312,1256.7670374800882,59132.32069114138
2034,Sharjah,2400859,926.9729691162087,43005.324139011915
2034,Ajman,667905,1451.968057818909,37629.65862163542
2034,Umm Al Quwain,391052,543.1283499001291,34941.825862947175
2034,Ras Al Khaimah,448753,266.48095720832004,38973.575000979545
2034,Fujairah,380042,262.09804554316446,41661.40775966779
2035,Abu Dhabi,4825891,49.64909440067039,161955.36287476018
2035,Dubai,5458191,1328.0272452278678,60906.29031187562
2035,Sharjah,2409618,930.3547613532944,44295.48386318227
2035,Ajman,721133,1567.6808863371853,38758.54838028448
2035,Umm Al Quwain,405511,563.2104108369289,35990.08063883559
2035,Ras Al Khaimah,479585,284.78935086972206,40142.78225100893
2035,Fujairah,385817,266.0808095829524,42911.24999245782
2036,Abu Dhabi,5167721,53.16585954757809,166814.023761003
2036,Dubai,5637929,1371.7589527323996,62733.47902123189
2036,Sharjah,2480302,957.6457672236988,45624.34837907774
2036,Ajman,719009,1563.064971011009,39921.30483169302
2036,Umm Al Quwain,422397,586.6627203533122,37069.78305800066
2036,Ras Al Khaimah,508190,301.77603169848555,41347.0657185392
2036,Fujairah,408290,281.5795463132995,44198.587492231556
2037,Abu Dhabi,5305231,54.58056874696798,171818.44447383308
2037,Dubai,5832400,1419.0754990595897,64615.48339186885
2037,Sharjah,2427516,937.265054647951,46993.078830450075
2037,Ajman,764796,1662.6017703052144,41118.943976643815
2037,Umm Al Quwain,414833,576.1573640296143,38181.876549740686
2037,Ras Al Khaimah,502171,298.2015790059162,42587.47769009538
2037,Fujairah,408273,281.5676409518041,45524.54511699851
2038,Abu Dhabi,5163391,53.12131092944392,176972.9978080481
2038,Dubai,5721509,1392.0946897651359,66553.94789362492
2038,Sharjah,2736121,1056.4174182148943,48402.87119536358
2038,Ajman,813728,1768.975693950752,42352.51229594313
2038,Umm Al Quwain,426754,592.7144757942298,39327.33284623291
2038,Ras Al Khaimah,534484,317.3900435971445,43865.102020798244
2038,Fujairah,412789,284.6826991973352,46890.28147050847
2039,Abu Dhabi,5427733,55.84087863820275,182282.1877422895
2039,Dubai,6097952,1483.6866983983523,68550.56633043366
2039,Sharjah,2747553,1060.8314175806904,49854.95733122448
2039,Ajman,817421,1777.0023721637647,43623.087664821425
2039,Umm Al Quwain,460929,640.1799785776504,40507.15283161989
2039,Ras Al Khaimah,557497,331.0556475634612,45181.055081422186
2039,Fujairah,431376,297.5009583096332,48296.989914623715
2040,Abu Dhabi,5856335,60.25036972061928,187750.65337455823
2040,Dubai,6264168,1524.1285976300246,70607.08332034668
2040,Sharjah,2874525,1109.8554216488408,51350.60605116122
2040,Ajman,833119,1811.128480593874,44931.78029476607
2040,Umm Al Quwain,474862,659.530717525626,41722.36741656849
2040,Ras Al Khaimah,564156,335.00981512415393,46536.486733864855
2040,Fujairah,442561,305.21463016305506,49745.899612062436
2041,Abu Dhabi,5603107,57.645136378164686,193383.17297579497
2041,Dubai,6696748,1629.379312365998,72725.29581995709
2041,Sharjah,2828084,1091.9247050723816,52891.12423269606
2041,Ajman,874550,1901.1968544069596,46279.733703609054
2041,Umm Al Quwain,498292,692.0725676086265,42974.038439065545
2041,Ras Al Khaimah,586305,348.162297516131,47932.5813358808
2041,Fujairah,458886,316.4737704382037,51238.2766004243
2042,Abu Dhabi,6070265,62.451290960197,199184.66816506884
2042,Dubai,6888796,1676.1062330289349,74907.0546945558
2042,Sharjah,3016371,1164.6222008910931,54477.85795967695
2042,Ajman,902709,1962.4124202951325,47668.12571471733
2042,Umm Al Quwain,482227,669.7603898514467,44263.25959223752
2042,Ras Al Khaimah,597266,354.6713723413081,49370.55877595723
2042,Fujairah,478088,329.71613561901336,52775.42489843704
2043,Abu Dhabi,5890421,60.601041505094905,205160.20821002088
2043,Dubai,7193089,1750.143427389514,77154.26633539247
2043,Sharjah,3044154,1175.3491094427316,56112.19369846725
2043,Ajman,903135,1963.3390518672552,49098.16948615885
2043,Umm Al Quwain,514671,714.8209456089756,45591.15738000464
2043,Ras Al Khaimah,626589,372.08405294256755,50851.67553923595
2043,Fujairah,485156,334.5908966611651,54358.68764539015
2044,Abu Dhabi,6017003,61.90332330406759,211315.01445632154
2044,Dubai,7490599,1822.5303226972082,79468.89432545425
2044,Sharjah,3026645,1168.5890873930682,57795.55950942128
2044,Ajman,972425,2113.968459648544,50571.114570743615
2044,Umm Al Quwain,528835,734.4941932345595,46958.89210140479
2044,Ras Al Khaimah,647639,384.584238847473,52377.22580541303
2044,Fujairah,503600,347.31048859259084,55989.448274751856
2045,Abu Dhabi,6328327,65.10625224660278,217654.46489001118
2045,Dubai,7160528,1742.2210940364218,81852.96115521788
2045,Sharjah,3333152,1286.9314583298467,59529.42629470391
2045,Ajman,962300,2091.956784238357,52088.24800786592
2045,Umm Al Quwain,525176,729.4115271678678,48367.65886444693
2045,Ras Al Khaimah,661976,393.0974617590776,53948.54257957542
2045,Fujairah,522014,360.0101714570661,57669.13172299441
2046,Abu Dhabi,6628409,68.1935158562963,224184.09883671152
2046,Dubai,7695450,1872.372277144948,84308.54998987442
2046,Sharjah,3361931,1298.0430620432903,61315.309083545035
2046,Ajman,1038656,2257.9486250384994,53650.8954481019
2046,Umm Al Quwain,557715,774.6049747899148,49818.68863038034
2046,Ras Al Khaimah,663661,394.0983682280304,55566.99885696269
2046,Fujairah,527795,363.99709184351576,59399.20567468425
2047,Abu Dhabi,6806974,70.03060415042604,230909.62180181287
2047,Dubai,7674778,1867.3425902229446,86837.80648957065
2047,Sharjah,3397307,1311.7019229229875,63154.76835605138
2047,Ajman,1033291,2246.285777415999,55260.422311544964
2047,Umm Al Quwain,560140,777.9724551218314,51313.24928929175
2047,Ras Al Khaimah,708324,420.62048563002315,57234.00882267157
2047,Fujairah,543076,374.5356317655566,61181.18184492478
2048,Abu Dhabi,7091667,72.95953979415941,237836.91045586727
2048,Dubai,8457953,2057.8961086399654,89442.94068425777
2048,Sharjah,3421988,1321.230915358501,65049.41140673293
2048,Ajman,1042988,2267.366130864262,56918.23498089131
2048,Umm Al Quwain,588569,817.457699591286,52852.6467679705
2048,Ras Al Khaimah,719806,427.43833331860407,58951.029087351715
2048,Fujairah,585002,403.450175420725,63016.617300272526
